# Program:featureCounts v2.0.4; Command:"featureCounts" "-s" "2" "-T" "2" "-p" "-a" "Saccharomyces_cerevisiae.R64-1-1.108.gtf" "-o" "allSamples.featureCounts.txt" "SRR24466380.bam" "SRR24466381.bam" "SRR24466382.bam" "SRR24466389.bam" "SRR24466390.bam" "SRR24466391.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR24466380.bam	SRR24466381.bam	SRR24466382.bam	SRR24466389.bam	SRR24466390.bam	SRR24466391.bam
YDR487C	IV	1428354	1428980	-	627	4457	6094	3874	13869	6802	7448
YDR066C	IV	581908	582498	-	591	436	566	1095	1170	689	518
YDR352W	IV	1181801	1182754	+	954	1217	1744	783	2522	1637	1598
YDR278C	IV	1017001	1017318	-	318	36	81	64	45	225	103
YDR079C-A	IV	603593	603811	-	219	9303	12777	10609	6624	15258	7275
YDR204W	IV	858137	859144	+	1008	900	1622	1129	3740	1932	1732
YDL247W-A	IV	3762	3836	+	75	32	34	10	33	34	18
YDL024C	IV	408451	409857	-	1407	59	72	54	176	124	74
tA(AGC)D	IV	410379	410451	+	73	0	2	0	0	2	1
YDR109C	IV	673520	675667	-	2148	682	937	597	1914	969	957
YDR466W	IV	1395121	1397817	+	2697	872	1241	918	2839	1447	1348
YDR427W	IV	1322205	1323386	+	1182	3307	7018	8336	13971	7391	5189
YDL044C	IV	373967	375289	-	1323	444	658	542	1510	764	779
YDL079C	IV;IV	312951;314337	314044;314748	-;-	1506	88	459	2886	940	1573	822
YDR193W	IV	844554	844952	+	399	0	1	0	2	5	0
YDR305C	IV;IV	1072746;1073402	1073312;1073488	-;-	654	1815	2502	2375	3418	3259	1967
YDR377W	IV	1228611	1228916	+	306	29551	44666	47323	37964	37448	19564
YDR219C	IV	905455	906852	-	1398	780	1148	933	3672	1523	2073
YDR416W	IV	1298432	1301011	+	2580	873	1351	1356	2893	1209	1560
YDR365C	IV	1204497	1206383	-	1887	1678	2238	1487	9103	3957	4500
YDL233W	IV	36797	38173	+	1377	482	619	417	1875	658	848
YDR287W	IV	1035995	1036873	+	879	691	1180	795	2668	1838	1452
YDR448W	IV	1356065	1357369	+	1305	582	777	492	2030	742	1082
YDR180W	IV	821295	825776	+	4482	296	685	602	1245	946	939
tF(GAA)D	IV;IV	1095370;1095425	1095405;1095461	-;-	73	9	15	16	15	34	20
tT(AGU)D	IV	434264	434336	-	73	4	6	8	3	8	9
YDR294C	IV	1050459	1052228	-	1770	4470	6411	2502	8978	5161	4180
YDR198C	IV	852533	853972	-	1440	304	495	397	1066	645	539
YDL163W	IV	166956	167258	+	303	0	0	0	0	0	0
YDL119C	IV	246689	247612	-	924	549	806	582	1618	1181	980
YDR501W	IV	1451353	1452918	+	1566	569	666	505	1167	599	720
YDL214C	IV	74446	76545	-	2100	140	138	638	942	499	432
YDR264C	IV	996029	998323	-	2295	4832	9614	5141	10963	11134	6604
YDR343C	IV	1159608	1161320	-	1713	284	4178	13492	4295	10406	3146
YDR373W	IV	1222759	1223331	+	573	9190	13547	18686	19001	10301	7922
YDR354W	IV	1184747	1185889	+	1143	1531	1850	1477	8755	3574	5776
YDR246W	IV	954288	954947	+	660	716	1217	837	3659	1789	1989
YDR428C	IV	1323454	1324239	-	786	270	427	226	1072	572	633
YDR157W	IV	769931	770332	+	402	9	6	6	30	1	13
YDR316W	IV	1093763	1095178	+	1416	648	1075	808	2049	1363	1164
YDL142C	IV	201719	202570	-	852	908	1338	1069	2626	1395	1409
YDR253C	IV	963990	964565	-	576	1034	950	617	3053	813	1177
YDL112W	IV	258915	263225	+	4311	809	868	664	2334	802	1245
YDR545W	IV	1526321	1531711	+	5391	11	2	2	10	12	8
YDL187C	IV	125509	125838	-	330	26	41	23	139	100	73
YDL138W	IV	213351	215642	+	2292	703	968	289	1866	809	844
YDR528W	IV	1494586	1495857	+	1272	413	512	102	896	225	337
YDR284C	IV	1030550	1031419	-	870	2536	3660	2233	6878	4601	3329
YDR050C	IV	555726	556472	-	747	61825	119739	58061	286083	137411	132636
YDL010W	IV	432330	433025	+	696	3498	5156	2344	4098	4013	2566
YDL065C	IV	336249	337277	-	1029	935	1648	1354	3904	2143	2160
YDR349C	IV	1172386	1174176	-	1791	3288	4599	1572	5285	3430	2884
YDL098C	IV	284581	285165	-	585	768	1398	1686	2244	1223	1092
YDL234C	IV	34237	36477	-	2241	2566	3714	3452	6302	3567	2923
YDR118W	IV	685882	687840	+	1959	476	723	800	1722	939	1013
YDR118W-A	IV	687768	687884	+	117	19	19	7	28	15	5
YDR159W	IV	771877	775782	+	3906	812	1171	835	2580	1500	1540
YDR111C	IV	678241	679764	-	1524	922	1323	794	3096	998	1981
YDR128W	IV	709549	712995	+	3447	607	1164	764	2542	1205	1183
YDL034W	IV	391783	392127	+	345	0	0	0	4	0	0
YDR065W	IV	580687	581784	+	1098	274	512	376	871	596	603
YDL004W	IV	443029	443511	+	483	3163	4939	3390	11064	5898	5367
YDR024W	IV	491017	491502	+	486	70	79	70	210	42	149
YDL171C	IV	149203	155640	-	6438	4657	3970	2686	18264	6310	7841
YDR083W	IV	612073	613251	+	1179	267	347	292	929	264	766
YDR457W	IV	1369790	1379596	+	9807	1909	3741	6628	9203	8369	4645
YDR014W	IV	474046	475989	+	1944	223	428	407	830	567	563
YDR206W	IV	862054	864708	+	2655	1678	2093	1789	4167	2066	2419
YDR478W	IV	1414575	1415171	+	597	475	660	949	1378	579	811
YDR169C	IV	792348	793889	-	1542	916	1303	866	3662	1982	1927
YDR115W	IV	682175	682492	+	318	1925	2902	3095	5120	3011	2648
YDL159W-A	IV	172182	172313	+	132	0	0	0	2	0	0
YDL232W	IV	38487	38597	+	111	3086	5081	2524	7749	4395	3806
YDL240C-A	IV	22471	22608	-	138	0	0	0	0	0	0
tE(CUC)D	IV	1017207	1017278	-	72	0	0	0	0	0	0
YDL152W	IV	182822	183187	+	366	2	0	0	0	0	2
YDR432W	IV	1328783	1330027	+	1245	1236	1880	1230	8462	2761	4461
YDL022C-A	IV	409808	410056	-	249	0	0	2	9	3	2
YDL114W-A	IV	254935	255048	+	114	2	11	2	5	5	8
YDR410C	IV	1292372	1293091	-	720	1719	2412	1374	4420	2992	2271
YDR464C-A	IV	1392492	1392680	-	189	0	0	0	0	0	0
YDL072C	IV	329836	330447	-	612	11747	16742	9269	13947	13052	6852
YDR053W	IV	560249	560644	+	396	15	8	6	14	17	8
YDL012C	IV;IV	431108;431473	431386;431517	-;-	324	1894	2481	985	5050	2772	2526
YDR482C	IV	1420431	1420838	-	408	541	628	312	1115	454	613
YDL070W	IV	331024	332940	+	1917	29869	51092	51956	41061	127539	29373
YDR064W	IV;IV	579458;580018	579478;580452	+;+	456	29040	37915	15932	102504	35208	68218
YDL135C	IV	218680	219288	-	609	1927	3208	3140	7301	3281	3698
YDL077C	IV	316971	320120	-	3150	564	1012	805	2094	1327	1181
YDR354C-A	IV	1185139	1185282	-	144	0	2	0	10	2	1
YDL033C	IV	392659	393912	-	1254	189	347	186	1018	401	389
YDL031W	IV	394217	397204	+	2988	410	689	354	1540	483	1086
YDR398W	IV	1267471	1269402	+	1932	472	544	311	1491	321	1057
YDR326C	IV	1120609	1124925	-	4317	4365	4253	2377	4984	3567	3465
YDL052C	IV	362672	363583	-	912	4987	5976	2387	10731	7110	5060
YDR536W	IV	1508005	1509714	+	1710	84	63	119	88	71	92
YDR397C	IV;IV	1266366;1266862	1266769;1266898	-;-	441	1646	2302	1434	3808	2979	2888
YDL116W	IV	251566	253746	+	2181	1246	1673	1498	4482	1767	2230
YDR028C	IV	497835	500879	-	3045	2126	3307	2442	7216	3511	3370
YDL007W	IV	438047	439360	+	1314	8223	16172	12179	19723	18004	8332
YDR236C	IV	935236	935892	-	657	3289	4329	3224	4261	3629	2347
YDR011W	IV	465919	470424	+	4506	4213	3440	2331	11564	2692	4570
YDR155C	IV	768512	769000	-	489	15270	20108	10804	50721	22213	21946
YDR414C	IV	1295598	1296686	-	1089	1045	1478	612	1996	1388	1238
YDR026C	IV	492556	494268	-	1713	810	1312	644	2771	1379	1421
YDL073W	IV	326613	329567	+	2955	1051	1832	1020	2942	1738	1617
tY(GUA)D	IV;IV	946312;946365	946350;946400	+;+	75	8	18	8	39	24	21
YDL115C	IV;IV	253995;255045	254974;255126	-;-	1062	1966	2639	2295	6610	5116	3731
YDL145C	IV	194571	198176	-	3606	3668	4677	3143	12937	5363	6095
YDR203W	IV	857682	857999	+	318	10	7	7	35	6	4
YDL104C	IV	273653	274876	-	1224	157	307	305	776	503	436
YDL149W	IV	184925	187918	+	2994	584	1121	980	1934	2173	1223
YDR231C	IV	926293	926910	-	618	1893	2543	2189	4866	2727	2154
YDR045C	IV	547978	548310	-	333	6091	6716	6613	7765	4610	5115
YDL075W	IV;IV	322226;322704	322282;322988	+;+	342	21220	25234	11251	66972	24455	39515
YDR415C	IV	1297037	1298161	-	1125	1407	2139	1251	3578	2322	2129
YDR339C	IV	1149951	1150520	-	570	931	1485	1011	3149	1214	1819
YDL213C	IV	77289	77966	-	678	836	815	546	2381	794	1751
YDR096W	IV	637139	639823	+	2685	1535	2116	2780	7254	3940	3375
YDL019C	IV	417663	421514	-	3852	2470	2510	2519	8686	3523	3826
YDL022W	IV	411825	413000	+	1176	16436	9428	8777	47142	11513	23018
YDR413C	IV	1294836	1295411	-	576	3	1	0	2	0	0
YDR391C	IV	1257358	1258056	-	699	1045	2176	1324	2985	2935	2089
YDR091C	IV	626708	628534	-	1827	1017	1442	615	4423	1100	3400
YDR240C	IV	943674	945152	-	1479	391	606	362	1214	656	636
YDL244W	IV	16204	17226	+	1023	22	19	12	91	39	68
YDR179C	IV	818708	819196	-	489	10369	10580	11364	6805	7714	7214
YDL165W	IV	164290	164865	+	576	1098	1578	1231	3608	1590	1571
YDL140C	IV	205360	210561	-	5202	2504	3745	3019	10678	5862	5063
YDR120C	IV	691549	693261	-	1713	506	503	337	2081	425	1677
YDR003W	IV	454122	454754	+	633	2045	2626	1642	5343	2514	2253
YDR499W	IV	1447830	1450073	+	2244	963	1200	1072	2566	1229	1378
YDR166C	IV	786306	789221	-	2916	1007	1754	1616	3798	2725	2393
YDL092W	IV	292781	293221	+	441	1637	2358	1727	5810	2730	2676
YDL041W	IV	378102	378455	+	354	2	0	0	6	6	3
YDL241W	IV	20635	21006	+	372	23	19	17	159	66	184
YDL082W	IV;IV	308424;308793	308427;309388	+;+	600	8115	9192	4511	25146	9109	18181
YDR277C	IV	1014401	1015702	-	1302	1229	5097	6255	7468	8186	3898
YDR291W	IV	1039728	1042961	+	3234	554	912	709	1906	1122	1139
YDR475C	IV	1407464	1410094	-	2631	1461	2368	1465	6210	2822	2655
YDR244W	IV	950563	952401	+	1839	610	868	669	3475	1108	1498
YDR407C	IV	1284069	1287938	-	3870	1693	2149	1597	4190	2178	2036
YDR382W	IV	1239492	1239824	+	333	19238	20515	11194	49251	16889	33059
YDR102C	IV	657648	657980	-	333	5	13	7	16	16	7
YDL188C	IV	123865	124998	-	1134	1577	2284	1694	4836	2856	2969
YDR405W	IV	1277646	1278437	+	792	652	967	570	3039	1199	1457
YDR443C	IV	1345676	1349938	-	4263	511	848	604	1984	1171	964
YDR059C	IV;IV	569234;569724	569633;569770	-;-	447	1075	1496	1277	2657	2570	1598
YDR144C	IV	744311	746101	-	1791	1552	1311	420	2423	675	1678
YDL157C	IV	174232	174588	-	357	9269	9290	7683	10937	6380	6837
YDL058W	IV	345665	351037	+	5373	1271	2290	1942	4655	2574	1790
YDL096C	IV	286998	287324	-	327	4	0	0	0	4	0
YDL155W	IV	176773	178056	+	1284	815	976	690	3085	1192	1650
YDR147W	IV	751631	753235	+	1605	1049	1336	937	3611	1460	1335
YDL191W	IV;IV	117664;118158	117666;118517	+;+	363	16364	19522	15782	27883	16335	18819
YDL128W	IV	232652	233887	+	1236	7196	11164	6819	12662	9145	7154
YDR310C	IV	1081128	1084316	-	3189	1465	1756	910	4649	2313	2475
YDL160C-A	IV	169366	169608	-	243	2091	3040	2886	3015	2990	1830
YDR127W	IV	704484	709250	+	4767	5430	7555	4569	24289	8761	12941
YDR497C	IV	1443713	1445467	-	1755	37618	46277	14541	67856	43663	25200
YDL162C	IV	167359	167715	-	357	1	2	0	5	3	0
tS(AGA)D3	IV	1305630	1305712	+	83	13	13	16	3	16	20
YDR201W	IV	856317	856814	+	498	1249	1491	1668	2794	1720	1675
YDR163W	IV	781423	781950	+	528	2346	2974	3121	3753	2915	2229
YDL146W	IV	192750	194225	+	1476	1298	1860	1490	4101	2899	2601
YDR363W-A	IV	1202128	1202397	+	270	25877	40383	40101	32587	35612	15779
YDL221W	IV	62011	62562	+	552	5	3	2	34	21	16
YDL089W	IV	296820	298274	+	1455	1413	2456	1412	3071	2761	1706
YDR385W	IV	1243230	1245758	+	2529	6905	7965	4279	33304	7198	15026
YDR331W	IV	1129588	1130823	+	1236	1980	2849	1579	4043	2784	2368
YDR196C	IV	850274	850999	-	726	4831	6647	7229	8126	6443	4221
YDR116C	IV	682724	683581	-	858	802	1198	1031	3905	1769	2126
YDR001C	IV	450220	452475	-	2256	3960	5388	4940	18501	7851	7976
YDL230W	IV	42700	43707	+	1008	601	853	616	2360	958	1096
YDR160W	IV	776163	778721	+	2559	1293	1728	1329	3047	2130	1678
YDR123C	IV	698554	699468	-	915	228	216	86	805	125	274
YDR322W	IV	1110589	1111692	+	1104	515	804	625	3139	1408	1507
YDR040C	IV	535192	538467	-	3276	411	420	305	872	494	551
YDR025W	IV;IV	491515;491899	491559;492324	+;+	471	10289	10841	4942	33166	11021	19299
YDR046C	IV	548762	550576	-	1815	7115	13165	8939	17649	17954	20013
YDL057W	IV	351434	352420	+	987	449	689	602	1210	690	596
YDL248W	IV	1802	2953	+	1152	637	960	567	1406	1303	800
YDR008C	IV	462252	462602	-	351	14	36	10	103	66	60
YDR029W	IV	501100	501414	+	315	6	9	57	10	11	1
YDR485C	IV	1424820	1427207	-	2388	802	1281	1232	3201	2494	1756
YDR408C	IV	1288215	1288859	-	645	2199	2402	1573	11218	2921	5196
YDR038C	IV	527422	530697	-	3276	295	379	158	508	421	353
YDL204W	IV	94605	95786	+	1182	1463	2852	3986	3940	3963	1759
YDR019C	IV	484163	485365	-	1203	2503	2310	1943	16492	3306	6201
YDR477W	IV	1412373	1414274	+	1902	3138	3694	3472	7943	6323	5309
YDR254W	IV	965113	966489	+	1377	1069	1258	1251	2268	1374	1550
YDR514C	IV	1471548	1472999	-	1452	331	375	204	968	400	400
YDR296W	IV	1055212	1055892	+	681	1011	1515	999	4392	1898	1895
YDL216C	IV	68997	70319	-	1323	497	846	773	2243	1326	1175
YDL100C	IV	282112	283176	-	1065	4234	6905	4959	16663	6833	6579
YDL068W	IV	333500	333829	+	330	32	55	59	68	63	38
YDL026W	IV	404749	405060	+	312	4	2	1	13	10	2
YDL124W	IV	240259	241197	+	939	9439	14310	11619	33824	11030	10932
YDL227C	IV	46271	48031	-	1761	475	465	159	1607	511	1649
YDL111C	IV	263313	264110	-	798	1011	1397	760	3150	1246	1784
YDR324C	IV	1114433	1116763	-	2331	620	821	633	2178	621	1582
YDL170W	IV	156318	157904	+	1587	2311	2514	1344	8728	3738	5618
YDR317W	IV	1102184	1103428	+	1245	29	27	33	61	72	34
YDR436W	IV	1334821	1336953	+	2133	1423	2088	1610	3211	2828	1860
YDR208W	IV	868224	870563	+	2340	1502	1899	1661	5491	2300	2573
YDR386W	IV	1246084	1247982	+	1899	516	738	540	1725	860	1016
YDR504C	IV	1456311	1456694	-	384	253	449	547	763	354	312
YDL220C	IV	62244	65018	-	2775	241	343	192	632	404	393
YDR396W	IV	1266295	1266795	+	501	5	9	7	12	11	10
YDR258C	IV	971808	974243	-	2436	35547	34023	24267	178340	24846	34178
YDR176W	IV	814452	816560	+	2109	2396	3133	2657	6707	3522	3510
YDL099W	IV	283419	284444	+	1026	1323	2354	1428	5810	3209	2921
YDR380W	IV	1234218	1236125	+	1908	55	62	22	156	49	23
YDL110C	IV	264512	264964	-	453	2066	2316	2181	7197	3200	3188
YDR148C	IV	753675	755066	-	1392	1589	2673	2168	7425	4021	3280
YDL201W	IV	99561	100421	+	861	312	315	231	1102	306	941
YDL107W	IV	268921	269976	+	1056	437	824	684	1637	1269	1082
YDR515W	IV	1473429	1474772	+	1344	669	1459	1246	2178	1699	932
YDR133C	IV	720962	721297	-	336	2059	1500	1622	35338	6095	19246
YDR378C	IV	1229349	1229609	-	261	21938	27203	23542	21761	22489	15326
YDR473C	IV	1404445	1405854	-	1410	634	1159	941	2215	1381	1245
YDR403W	IV	1274602	1276212	+	1611	495	750	686	492	468	219
YDR268W	IV	1004004	1005143	+	1140	394	820	539	1565	773	760
YDR409W	IV	1289406	1292120	+	2715	540	868	725	2550	1268	1164
YDR173C	IV	810565	811632	-	1068	821	914	705	2806	1325	1184
YDR187C	IV	836228	836746	-	519	0	0	0	0	0	2
YDR389W	IV	1252537	1254501	+	1965	1089	1305	1053	3347	1480	1615
YDR417C	IV	1301555	1301926	-	372	5	11	6	11	22	5
YDR165W	IV	784871	786205	+	1335	635	784	533	1740	633	1804
YDL113C	IV	256633	258555	-	1923	2608	3993	5295	6368	4385	3159
YDR426C	IV	1321629	1322006	-	378	20	17	30	65	67	113
YDR521W	IV	1483141	1483476	+	336	6	0	0	1	0	2
YDR086C	IV	616928	617170	-	243	10240	14393	9258	23122	11862	11523
YDL021W	IV	413953	414888	+	936	1314	5467	3809	9477	7918	2994
YDR023W	IV	489508	490896	+	1389	5422	7911	4794	20506	6588	10845
YDR394W	IV	1261681	1262967	+	1287	2286	4511	2949	9934	5240	3973
YDR320C-A	IV	1108280	1108498	-	219	35693	34878	29273	18009	32330	18059
YDR003W-A	IV	454782	454904	+	123	650	835	814	1745	877	648
YDR183W	IV	829585	830277	+	693	371	813	574	1679	1011	878
YDR245W	IV	952800	953981	+	1182	5091	5378	2961	8846	4744	5541
YDR431W	IV	1328390	1328701	+	312	4	3	1	3	5	0
YDL154W	IV	178334	181039	+	2706	337	381	186	936	324	362
YDL184C	IV	130407	130484	-	78	373062	446999	319829	218115	394682	258017
YDR153C	IV	766736	767971	-	1236	845	1071	754	3384	1182	1659
YDR014W-A	IV	477797	478285	+	489	51	71	74	99	96	26
YDR434W	IV	1331237	1332841	+	1605	4495	5706	3530	7091	4438	3481
YDL002C	IV	446967	447578	-	612	2313	3522	3679	5081	4041	3270
YDR225W	IV	915530	915928	+	399	13982	18100	18412	43622	15623	26878
YDR418W	IV	1301616	1302113	+	498	17414	19818	9786	55121	19492	34197
YDR224C	IV	914317	914712	-	396	10825	18332	12355	31030	16886	26781
